missing_ratio,method,scale,bucket,channel,eval_points,rmse,mae,crps,crps_scaled_by_abs_target,value_type,near_constant,differenced
0.08,linear_interpolation,original,nominal,channel_4,942,1.0341277891872313e-07,3.3693703604481953e-09,,,continuous,False,True
0.08,linear_interpolation,original,nominal,channel_5,1001,2.224369938419234e-07,1.1760157185953695e-08,,,continuous,False,True
0.08,linear_interpolation,original,nominal,channel_6,988,0.0,0.0,,,continuous,False,True
0.08,linear_interpolation,original,nominal,channel_7,1027,4.0332576212931073e-07,3.622998955566107e-08,,,continuous,False,True
0.08,linear_interpolation,original,nominal,channel_8,988,0.0,0.0,,,discrete_like,False,True
0.08,linear_interpolation,original,nominal,channel_9,1015,0.0,0.0,,,discrete_like,False,True
0.08,linear_interpolation,original,nominal,channel_10,1026,0.0,0.0,,,discrete_like,False,True
0.08,linear_interpolation,original,nominal,channel_11,997,0.0,0.0,,,discrete_like,False,True
0.08,linear_interpolation,original,nominal,channel_12,968,0.001457696209181854,0.0004629560800130702,,,continuous,False,False
0.08,linear_interpolation,original,nominal,channel_13,995,0.001609186987121808,0.0004692056820021203,,,continuous,False,False
0.08,linear_interpolation,original,nominal,channel_14,913,0.00124819467303343,0.0004121075258850398,,,continuous,False,False
0.08,linear_interpolation,original,nominal,channel_15,894,0.0014221760195065472,0.000468607487727865,,,continuous,False,False
0.08,linear_interpolation,original,nominal,channel_16,916,0.0015193916205253318,0.000516524286249319,,,continuous,False,False
0.08,linear_interpolation,original,nominal,channel_17,967,0.0012460530939170397,0.0004170557798002967,,,continuous,False,False
0.08,linear_interpolation,original,nominal,channel_18,956,0.0013568792483103415,0.0003958350070849622,,,continuous,False,False
0.08,linear_interpolation,original,nominal,channel_19,949,0.0016360499588887706,0.00048193143969215254,,,continuous,False,False
0.08,linear_interpolation,original,nominal,channel_20,972,0.0012881900429560801,0.00038162779844837425,,,continuous,False,False
0.08,linear_interpolation,original,nominal,channel_21,927,0.0014351985464063112,0.0004634395354259619,,,continuous,False,False
0.08,linear_interpolation,original,nominal,channel_22,928,0.0010494066310766958,0.00033408038896219486,,,continuous,False,False
0.08,linear_interpolation,original,nominal,channel_23,925,0.000910307975108375,0.0003017046604607556,,,continuous,False,False
0.08,linear_interpolation,original,nominal,channel_24,970,0.001949856654789001,0.0005576444655349574,,,continuous,False,False
0.08,linear_interpolation,original,nominal,channel_25,1012,0.0013033433951248929,0.00043769213168517405,,,continuous,False,False
0.08,linear_interpolation,original,nominal,channel_26,932,0.0015640175196959245,0.0004038751573010064,,,continuous,False,False
0.08,linear_interpolation,original,nominal,channel_27,992,0.001257813610551018,0.00039961032809749725,,,continuous,False,False
0.08,linear_interpolation,original,nominal,channel_28,952,0.0014334800596165044,0.00044968421375300705,,,continuous,False,False
0.08,linear_interpolation,original,nominal,channel_29,947,0.0013514615568284325,0.0004221354203088231,,,continuous,False,False
0.08,linear_interpolation,original,nominal,channel_30,899,0.0013004144090197976,0.0003949628440503682,,,continuous,False,False
0.08,linear_interpolation,original,nominal,channel_31,901,0.0012476861941301562,0.0003960937360812239,,,continuous,False,False
0.08,linear_interpolation,original,nominal,channel_32,910,0.001497874298003297,0.0004807169620807354,,,continuous,False,False
0.08,linear_interpolation,original,nominal,channel_33,856,0.0013380542095356353,0.00040985100737241944,,,continuous,False,False
0.08,linear_interpolation,original,nominal,channel_34,972,0.0011773326625434683,0.00039162200112892275,,,continuous,False,False
0.08,linear_interpolation,original,nominal,channel_35,982,0.001216491915699734,0.0004046980117100562,,,continuous,False,False
0.08,linear_interpolation,original,nominal,channel_36,1001,0.00110568689858941,0.0003539334524880637,,,continuous,False,False
0.08,linear_interpolation,original,nominal,channel_37,931,0.001656010627526669,0.0004958900774075829,,,continuous,False,False
0.08,linear_interpolation,original,nominal,channel_38,897,0.0013693481404316798,0.00043771491534468055,,,continuous,False,False
0.08,linear_interpolation,original,nominal,channel_39,937,0.0010989796751268563,0.0003344811650197814,,,continuous,False,False
0.08,linear_interpolation,original,nominal,channel_40,966,0.0016057594877023037,0.00042792241519035515,,,continuous,False,False
0.08,linear_interpolation,original,nominal,channel_41,997,0.0028808078035455144,0.001237936997963648,,,discrete_like,False,False
0.08,linear_interpolation,original,nominal,channel_42,910,0.0033925050150200955,0.0026550112189827383,,,continuous,False,False
0.08,linear_interpolation,original,nominal,channel_43,988,0.0014077006559709319,0.001088840698423656,,,discrete_like,False,False
0.08,linear_interpolation,original,nominal,channel_44,918,0.0039609500689578,0.002476157705768261,,,discrete_like,False,False
0.08,linear_interpolation,original,nominal,channel_45,959,0.0016360319754893816,0.0012810128324347568,,,discrete_like,False,False
0.08,linear_interpolation,original,nominal,channel_46,932,0.0035516615809899356,0.0027140522847359785,,,discrete_like,False,False
0.08,linear_interpolation,original,nominal,channel_47,957,4.392167306746893e-06,1.8318734290379965e-06,,,discrete_like,False,False
