missing_ratio,method,scale,bucket,group,channels,eval_points,rmse,mae,crps
0.08,csdi,normalized,all,all_channels,76,74752,0.8970390952185271,0.148562518976757,0.12346288678444614
0.08,csdi,normalized,all,continuous,44,43071,0.4954448784226697,0.04123375459298427,0.03854284140177299
0.08,csdi,normalized,all,discrete_like,32,31681,1.2509763858857184,0.29447827955165917,0.238913512543643
0.08,csdi,normalized,all,near_constant,0,0,,,
0.08,csdi,normalized,all,differenced,8,7984,0.24375349761265974,0.008799892618818505,0.008421268459267035
0.08,csdi,normalized,all,non_differenced,68,66768,0.9454080713435677,0.1652750880044616,0.13721936115402783
0.08,csdi,normalized,anomaly_rare,all_channels,76,1710,5.23154282074829,1.3554278277143923,1.2493351497879495
0.08,csdi,normalized,anomaly_rare,continuous,44,1290,2.4627185432596,0.5372134610635134,0.571211291466158
0.08,csdi,normalized,anomaly_rare,discrete_like,32,420,9.633427825845637,3.8685148109992347,3.33214414320488
0.08,csdi,normalized,anomaly_rare,near_constant,0,0,,,
0.08,csdi,normalized,anomaly_rare,differenced,8,0,,,
0.08,csdi,normalized,anomaly_rare,non_differenced,68,1710,5.23154282074829,1.3554278277143923,1.2493351497879495
0.08,csdi,normalized,held,all_channels,76,37172,1.072671257572545,0.06571720105467457,0.06028534327695178
0.08,csdi,normalized,held,continuous,44,26748,0.535043608231193,0.03670273864076265,0.03651378825718019
0.08,csdi,normalized,held,discrete_like,32,10424,1.8353615702218944,0.1401683561436343,0.12128318994510696
0.08,csdi,normalized,held,near_constant,0,0,,,
0.08,csdi,normalized,held,differenced,8,6338,0.2540326140736636,0.009261113972661434,0.008901613131985462
0.08,csdi,normalized,held,non_differenced,68,30834,1.1721229266646158,0.0773218803024465,0.07084738782708465
0.08,csdi,normalized,nominal,all_channels,76,73042,0.4275229733347648,0.1203083688117021,0.09710487932892416
0.08,csdi,normalized,nominal,continuous,44,41781,0.25648865320813174,0.025920243842500253,0.02209655476968368
0.08,csdi,normalized,nominal,discrete_like,32,31261,0.5823528407867891,0.24646013137010464,0.19735512111292425
0.08,csdi,normalized,nominal,near_constant,0,0,,,
0.08,csdi,normalized,nominal,differenced,8,7984,0.24375349761265974,0.008799892618818505,0.008421268459267035
0.08,csdi,normalized,nominal,non_differenced,68,65058,0.44487616616863623,0.1339928299682698,0.10798824416004935
