method,method_label,mask_family,mask_label,channel_index,channel,normalized_rmse,normalized_mae,evaluation_points
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,69,channel_70,0.9744462170565209,0.7960656692750359,6256
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,70,channel_71,0.9176827446513004,0.8025734330340852,5984
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,71,channel_72,0.9096406176511529,0.7605250135456563,6052
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,72,channel_73,0.9622083560136787,0.8171644093687895,5644
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,73,channel_74,0.9634763980729377,0.7649739147472189,6188
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,74,channel_75,0.8827564013207835,0.6937034888847173,6256
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,75,channel_76,0.8879384316684371,0.7049370291681116,5780
raw_pearson,原值 Pearson Top-8,time_block_50,时间块缺失 50%,0,channel_1,0.03142350725424977,0.031423507254249874,6144
raw_pearson,原值 Pearson Top-8,time_block_50,时间块缺失 50%,1,channel_2,0.030934524156832274,0.030934524156832354,6144
raw_pearson,原值 Pearson Top-8,time_block_50,时间块缺失 50%,2,channel_3,0.06174344481737107,0.038189041244065115,6144
raw_pearson,原值 Pearson Top-8,time_block_50,时间块缺失 50%,3,channel_4,0.0035165833493801166,0.003516583349380114,6144
raw_pearson,原值 Pearson Top-8,time_block_50,时间块缺失 50%,4,channel_5,0.004033373638504285,0.004033373638504289,6144
raw_pearson,原值 Pearson Top-8,time_block_50,时间块缺失 50%,5,channel_6,0.0034082887510582935,0.003408288751058299,6144
raw_pearson,原值 Pearson Top-8,time_block_50,时间块缺失 50%,6,channel_7,0.0040356800230663846,0.004035680023066387,6144
raw_pearson,原值 Pearson Top-8,time_block_50,时间块缺失 50%,7,channel_8,0.003057277986814312,0.0030572779868143153,6144
raw_pearson,原值 Pearson Top-8,time_block_50,时间块缺失 50%,8,channel_9,0.0029954621426134744,0.0029954621426134757,6144
raw_pearson,原值 Pearson Top-8,time_block_50,时间块缺失 50%,9,channel_10,0.0007592866139601664,0.0007592866139601671,6144
raw_pearson,原值 Pearson Top-8,time_block_50,时间块缺失 50%,10,channel_11,0.0013909898498271072,0.0013909898498271065,6144
