window_index,window_start,method,method_label,mask_family,mask_label,normalized_rmse,normalized_mae,evaluation_points
8,5984099,raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,0.8376345855007867,0.6963639705967848,3672
8,5984099,diff_pearson,一阶差分 Pearson Top-8,rectangle_50,矩形缺失 50%,0.9705701685846052,0.7483594928763658,3672
8,5984099,spearman,Spearman Top-8,rectangle_50,矩形缺失 50%,0.8384783628012283,0.6975245379282331,3672
8,5984099,random,随机 Top-8,rectangle_50,矩形缺失 50%,0.9954983687189799,0.8317991190135454,3672
8,5984099,shuffled,打乱原值图,rectangle_50,矩形缺失 50%,0.9330674155596937,0.7488751216464767,3672
8,5984099,global_mean,零值基线,rectangle_50,矩形缺失 50%,0.9572802544756531,0.826627579643894,3672
8,5984099,raw_pearson,原值 Pearson Top-8,time_block_50,时间块缺失 50%,0.9313045070208721,0.7556770801718236,3648
8,5984099,diff_pearson,一阶差分 Pearson Top-8,time_block_50,时间块缺失 50%,0.9369538114218262,0.759200021066891,3648
8,5984099,spearman,Spearman Top-8,time_block_50,时间块缺失 50%,0.9264156368178612,0.7510350636123442,3648
8,5984099,random,随机 Top-8,time_block_50,时间块缺失 50%,0.9515169697844134,0.7739199808633039,3648
8,5984099,shuffled,打乱原值图,time_block_50,时间块缺失 50%,0.9518829421318309,0.7704365547716684,3648
8,5984099,global_mean,零值基线,time_block_50,时间块缺失 50%,0.9278555384586183,0.7524984098964093,3648
9,5995695,raw_pearson,原值 Pearson Top-8,channel_dropout_50,通道丢失 50%,1.10245845434842,0.559103106957086,3648
9,5995695,diff_pearson,一阶差分 Pearson Top-8,channel_dropout_50,通道丢失 50%,0.7491395518324501,0.5264151155650305,3648
9,5995695,spearman,Spearman Top-8,channel_dropout_50,通道丢失 50%,0.6528967846121757,0.44054215508061545,3648
9,5995695,random,随机 Top-8,channel_dropout_50,通道丢失 50%,0.9104339192232266,0.6447585299265574,3648
