channel_id,channel,horizon_steps,window_minutes,missing_ratio,method,spectral_cosine,dominant_peak_preserved,high_frequency_inflation
12,channel_12,96,48.0,0.1,linear,1.0,True,0.0
12,channel_12,96,48.0,0.1,linear,1.0000000000000002,True,0.0
12,channel_12,96,48.0,0.1,linear,1.0000000000000002,True,0.0
12,channel_12,96,48.0,0.1,linear,0.9951397053634293,True,-0.0012891731674876047
12,channel_12,96,48.0,0.1,linear,1.0000000000000002,True,0.0
12,channel_12,96,48.0,0.1,linear,0.8619211061663006,True,-0.01693487131158517
12,channel_12,96,48.0,0.1,linear,0.9999999999999997,True,0.0
12,channel_12,96,48.0,0.1,linear,0.984380815428265,True,0.0010578843985283373
12,channel_12,96,48.0,0.1,linear,0.9913667364316194,True,0.0027712501501986134
12,channel_12,96,48.0,0.1,linear,0.9631689422182697,True,-0.0025350780772577797
12,channel_12,96,48.0,0.1,linear,0.9576857479190344,False,-0.006208308464359838
12,channel_12,96,48.0,0.1,linear,0.9999999999999999,True,0.0
12,channel_12,96,48.0,0.1,linear,0.942637751675832,False,-0.004819285691295569
12,channel_12,96,48.0,0.1,linear,0.9546163814832155,False,-0.021563139264293464
12,channel_12,96,48.0,0.1,linear,0.9962330154835548,True,-0.0005305141715435946
12,channel_12,96,48.0,0.1,linear,0.9881316188330186,True,8.03961432728692e-05
12,channel_12,96,48.0,0.1,linear,0.9999999999999996,True,0.0
12,channel_12,96,48.0,0.1,linear,0.9324609375998348,True,-0.020820028398942304
12,channel_12,96,48.0,0.1,linear,0.9909151070827781,True,-0.0003467458856500627
12,channel_12,96,48.0,0.1,linear,1.0000000000000007,True,0.0
12,channel_12,96,48.0,0.1,linear,0.9150561134251253,True,-0.03918721669513896
12,channel_12,96,48.0,0.1,linear,1.0000000000000004,True,0.0
12,channel_12,96,48.0,0.1,linear,0.9992929924304337,True,-0.000769862885129563
12,channel_12,96,48.0,0.1,linear,0.9653795302908689,True,-0.01621065946891273
12,channel_12,96,48.0,0.1,linear,1.0000000000000002,True,0.0
12,channel_12,96,48.0,0.1,linear,0.9979433193645271,True,-0.00246843965435653
12,channel_12,96,48.0,0.1,linear,0.9194367102008351,True,-0.01801922807971619
12,channel_12,96,48.0,0.1,linear,1.0,True,0.0
12,channel_12,96,48.0,0.1,linear,0.9997716470606497,True,-0.0007124291995077997
12,channel_12,96,48.0,0.1,linear,0.998042310357141,True,-0.0035504890513729306
12,channel_12,96,48.0,0.1,linear,0.7397770187994968,False,-0.028139913938626995
12,channel_12,96,48.0,0.1,linear,0.9448799345955832,True,0.005033586753976686
12,channel_12,96,48.0,0.1,linear,0.8237543705906254,False,-0.018676444714359128
12,channel_12,96,48.0,0.1,linear,0.9327717754372646,True,-0.01313993903084689
12,channel_12,96,48.0,0.1,linear,0.9999999999999997,True,0.0
12,channel_12,96,48.0,0.1,linear,0.9982247781205253,False,-0.0025797813783933407
12,channel_12,96,48.0,0.1,linear,1.0000000000000002,True,0.0
12,channel_12,96,48.0,0.1,linear,0.9999999999999996,True,0.0
12,channel_12,96,48.0,0.1,linear,1.0000000000000002,True,0.0
12,channel_12,96,48.0,0.1,linear,0.9990268792544911,False,0.0008028916300132291
12,channel_12,96,48.0,0.1,linear,0.9992090239991874,True,-0.0004850110238242625
12,channel_12,96,48.0,0.1,linear,0.9981676770359891,True,0.0004350197927576738
12,channel_12,96,48.0,0.1,linear,1.0,True,0.0
12,channel_12,96,48.0,0.1,linear,0.9999999999999998,True,0.0
12,channel_12,96,48.0,0.1,linear,0.9999999999999997,True,0.0
12,channel_12,96,48.0,0.1,linear,0.9901684834397982,True,-0.0004246621347398505
12,channel_12,96,48.0,0.1,linear,0.9999999999999999,True,0.0
12,channel_12,96,48.0,0.1,linear,0.9999999999999998,True,0.0
